Nimi;Name;longitude;latitude
Hietalahdentori;Hietalahdentori;24.92964763;60.16222839
Designmuseo;Design Museum;24.94596;60.16310319
Vanha kirkkopuisto;Vanha kirkkopuisto;24.93911455;60.16535385
Erottajan aukio;Erottajan aukio;24.94418876;60.16689487
Kasarmitori;Kasarmitori;24.94947288;60.16501717
Unioninkatu;Unioninkatu;24.9510227;60.16745729
Kanavaranta;Kanavaranta;24.95849228;60.1684959
Merisotilaantori;Merisotilaantori;24.97552848;60.16791905
Senaatintori;Senate Square;24.9526414;60.16912779
Ritarikatu;Ritarikatu;24.95552186;60.17109068
Liisanpuistikko;Liisanpuistikko;24.9613747;60.17418219
Varsapuistikko;Varsapuistikko;24.94949678;60.1730909
Porthania;Porthania;24.94930815;60.16965675
Rautatientori / itä;Central Railway Station/East;24.9425268;60.17082359
Kaisaniemenpuisto;Kaisaniemenpuisto;24.94335564;60.1732349
Töölönlahdenkatu;Töölönlahdenkatu;24.93930791;60.17219068
Rautatientori / länsi;Central Railway Station/West;24.9397601;60.17060609
Kiasma;Kiasma;24.9374279;60.17125789
Mannerheimintie;Mannerheimintie;24.9394195;60.16907239
Narinkka;Narinkka;24.93460698;60.17004203
Kamppi (M);Kamppi (M);24.9305373;60.16860949
Eerikinkatu;Eerikinkatu;24.93664159;60.16770571
Lastenlehto;Lastenlehto;24.92703627;60.1657993
Baana;Baana;24.92257062;60.16411737
Itämerentori;Itämerentori;24.9145165;60.16353089
Marian sairaala;Maria Hospital;24.92274157;60.16832282
Eläinmuseo;Finnish Museum of Natural History;24.93189751;60.1713589
Kauppakorkeakoulu;Hanken School of Economics;24.92383976;60.1712029
Kansallismuseo;National Museum;24.93289832;60.1739569
Cygnaeuksenkatu;Cygnaeuksenkatu;24.92826856;60.17410087
Apollonkatu;Apollonkatu;24.9224633;60.17609278
Töölönkatu;Töölönkatu;24.92835251;60.17753462
Töölöntori;Töölöntori;24.92497005;60.17910052
Ooppera;Opera;24.926687;60.18255289
Hakaniemi (M);Hakaniemi (M);24.95225798;60.17808163
Ympyrätalo;Ympyrätalo;24.9494;60.18086299
Haapaniemenkatu;Haapaniemenkatu;24.95519528;60.18316011
Karhupuisto;Karhupuisto;24.9526763;60.18428329
Sörnäinen (M);Sörnäinen (M);24.96055414;60.18771264
Brahen kenttä;Brahen kenttä;24.95081315;60.18679029
Diakoniapuisto;Diakoniapuisto;24.94354096;60.18690405
Vanha Kauppahalli;Market Square;24.95356854;60.16528334
Mastokatu;Mastokatu;24.96746682;60.1647465
Annankatu;Annankatu;24.9417379;60.16347492
Melkonkuja;Melkonkuja;24.8861094;60.14981269
Itälahdenkatu;Itälahdenkatu;24.8812502;60.15065999
Heikkilänaukio;Heikkilänaukio;24.8793159;60.15407629
Heikkiläntie;Heikkiläntie;24.8850653;60.15681699
Gyldenintie;Gyldenintie;24.8766658;60.15838419
Puistokaari;Puistokaari;24.86202008;60.15787493
Luoteisväylä;Luoteisväylä;24.86031185;60.16535909
Lauttasaaren ostoskeskus;Lauttasaari Shopping Center;24.88281036;60.16041535
Lauttasaarensilta;Lauttasaarensilta;24.8899154;60.16118582
Salmisaarenranta;Salmisaarenranta;24.90093349;60.16478417
Kaapelitehdas;Cable Factory;24.90279681;60.16125285
Länsisatamankatu;Länsisatamankatu;24.909692;60.15892759
Välimerenkatu;Välimerenkatu;24.91624129;60.15929634
Jätkäsaarenlaituri;Jätkäsaarenlaituri;24.9214896;60.16193109
Tyynenmerenkatu;Tyynenmerenkatu;24.92034355;60.15680777
Hernesaarenranta;Hernesaarenranta;24.93119782;60.15351448
Ehrenströmintie;Ehrenströmintie;24.95921227;60.15521783
Perämiehenkatu;Perämiehenkatu;24.93406569;60.16008758
Albertinkatu;Albertinkatu;24.93680504;60.16185748
Kalevankatu;Kalevankatu;24.93142157;60.16568018
Sammonpuistikko;Sammonpuistikko;24.9224112;60.17314729
Hietaniemenkatu;Hietaniemenkatu;24.90767042;60.17333315
Eteläinen Hesperiankatu;Eteläinen Hesperiankatu;24.91552616;60.17559266
Kesäkatu;Kesäkatu;24.9132504;60.17929669
