Nimi;Name;longitude;latitude
Talkootori;Talkootori;25.04622991;60.30306037
Hiekkaharjun asema;Hiekkaharju station;25.04930337;60.30472805
Tarhurinaukio;Tarhurinaukio;25.04449836;60.31247458
Malminiitynpolku;Malminiitynpolku;25.03511613;60.3132651
Leinikkitie;Leinikkitie;25.0307302;60.31053412
Sananjalanpolku;Sananjalanpolku;25.02657588;60.31345734
Maitikka-aukio;Maitikka-aukio;25.02328924;60.30565146
Kydönaukio;Kydönaukio;25.06338144;60.32013295
Koivutori;Koivutori;25.06180915;60.32362776
Sauvatie;Sauvatie;25.07295344;60.32068752
Koivukylän asema;Koivukylä station;25.05988351;60.32327221
Leinelän asema;Leinelä station;25.03752236;60.32320319
Rekolan asema;Rekola station;25.06743637;60.33300455
Sairaalakatu;Sairaalakatu;25.06125976;60.33172682
Teletie;Teletie;24.96813867;60.31338657
Karhumäenportti;Karhumäenportti;24.95883078;60.30543327
Avia-aukio;Avia-aukio;24.95478221;60.30254997
Teknobulevardi;Teknobulevardi;24.96595889;60.30466983
Robert Huberin tie;Robert Huberin tie;24.96279656;60.29591715
Tasetie;Tasetie;24.96807631;60.28996256
Tapaninkyläntie;Tapaninkyläntie;24.97325471;60.26585487
Tammistontie;Tammistontie;24.97032136;60.27621828
Hagelstaminpuisto;Hagelstaminpuisto;24.96602628;60.28119848
Hagelstamintie;Hagelstamintie;24.95920702;60.28470132
Pakkalan puistotie;Pakkalan puistotie;24.94899067;60.28956584
Antaksentie;Antaksentie;24.94835958;60.29351877
Tammiston kauppatie;Tammiston kauppatie;24.97447479;60.28249622
Osumakuja;Osumakuja;24.93267076;60.30050939
Ansatie;Ansatie;24.92231057;60.29478648
Kartanonkosken liikuntapuisto;Kartanonkoski sports park;24.9563511;60.27951965
Väinö Tannerin tie;Väinö Tannerin tie;24.95928005;60.28960373
Jumbo P3-taso;Jumbo P3-level;24.96239824;60.2909266
Jumbo P1-taso;Jumbo P1-level;24.9643631;60.29024006
Rälssitie;Rälssitie;24.97213653;60.29399502
Myyrmäen asema;Myyrmäki station;24.85480994;60.26096638
Liesikuja;Liesikuja;24.85463799;60.26277283
Energia Areena;Energia Arena;24.83913088;60.26050356
Myyrmäen jäähalli;Myyrmäki ice hall;24.84096566;60.26371802
Myyrmäen uimahalli;Myyrmäki swimming hall;24.85212543;60.26554987
Louhelan asema;Louhela station;24.85317978;60.27015878
Kuohukuja;Kuohukuja;24.84626187;60.26991851
Martinlaakson asema;Martinlaakso station;24.85303214;60.27748443
Martinlaakson uimahalli;Martinlaakso swimming hall;24.84551181;60.27583986
Kiskanpuisto;Kiskanpuisto;24.84002358;60.27912596
Kukinkuja;Kukinkuja;24.86117761;60.27909457
Vantaankosken asema;Vantaankoski station;24.8491118;60.28522942
Meripihkatori;Meripihkatori;24.8479958;60.26247965
Honkasuo;Honkasuo;24.84306006;60.25876428
Kilterinaukio;Kilterinaukio;24.85267443;60.25715373
Nuijatie;Nuijatie;24.83007909;60.25927302
Koivuvaarankuja;Koivuvaarankuja;24.81455454;60.25464142
Pähkinärinteen kirjasto;Pähkinärinne library;24.80565502;60.25659866
Lammasrinne;Lammasrinne;24.80657744;60.26187358
Ainontie;Ainontie;24.80385072;60.2710845
Martinkyläntie;Martinkyläntie;24.82189297;60.2779776
Petikontie;Petikontie;24.81506902;60.27960559
Luhtimäki;Luhtimäki;24.82018509;60.26895441
Vehkalan asema;Vehkala station;24.84422352;60.29482489
Vantaanpuisto;Vantaanpuisto;24.85655368;60.30121977
Mestarintie;Mestarintie;24.85075359;60.307614
Kivistön asema;Kivistö station;24.84959625;60.31556487
Aurinkokivenpiha;Aurinkokivenpiha;24.8499308;60.31875481
Rubiinipuisto;Rubiinipuisto;24.85348761;60.32174957
Lincolninaukio;Lincolninaukio;24.83120678;60.31847088
Suokalliontie;Suokalliontie;24.89729766;60.3063226
Tahkotie;Tahkotie;24.91101191;60.30352708
Riistakuja;Riistakuja;24.90706434;60.29526835
Tuupakankuja;Tuupakankuja;24.89148725;60.29630012
Vantaanlaaksontie;Vantaanlaaksontie;24.87249429;60.28319183
Vetokuja;Vetokuja;24.87898738;60.26944911
Silvola;Silvola;24.88159857;60.26511895
Kaivokselantie;Kaivokselantie;24.87248262;60.26874297
Vuorimestarintori;Vuorimestarintori;24.87164149;60.26391944
Aapraminkaari;Aapraminkaari;24.86713987;60.25794019
Ollaksentie;Ollaksentie;24.91070048;60.28460734
Laajavuorentie;Laajavuorentie;24.84838522;60.28178007
Martinlaaksontie;Martinlaaksontie;24.86740289;60.2778249
Kauppalaivurintie;Kauppalaivurintie;24.86634308;60.29033288
Malminiitynpuisto;Malminiitynpuisto;25.04069255;60.31556758
Oljenkorsi;Oljenkorsi;25.06259977;60.29877301
Urheilutie;Urheilutie;25.05950553;60.2956961
Hernetie;Hernetie;25.03336273;60.29583189
Heureka;Heureka;25.04190327;60.28862154
Keimolantie;Keimolantie;24.84077423;60.32299528
Tammistonkatu;Tammistonkatu;24.9667526;60.26909181
Pyhtäänkorventie;Pyhtäänkorventie;24.97348108;60.29989582
Kirjastopuisto;Kirjastopuisto;25.04185949;60.29472034
Eric Von Rettingin puisto;Eric Von Rettigs park;25.04895926;60.29523753
Hiekkaharjun koulu;Hiekkaharju school;25.0359393;60.30750375
Lummetie;Lummetie;25.01763663;60.29835655
Vantaan aikuisopisto;Vantaa adult education center;25.03978346;60.29632092
Ratatie;Ratatie;25.04198784;60.29104714
Metsänhenki;Metsänhenki;25.04096055;60.32446317
Kuusijärvi;Kuusijärvi;24.85709905;60.27353615
Jokiuomanpuisto;Jokiuomanpuisto;25.11253774;60.31423764
Tikkurilantie;Tikkurilantie;25.03010299;60.28920915
Osmankäämintie;Osmankäämintie;25.01756482;60.29155043
Läntinen Valkoisenlähteentie;Läntinen Valkoisenlähteentie;25.0230221;60.30185653
Kielotie;Kielotie;25.03590434;60.28930693
Möskärinmäki;Möskärinmäki;25.02653248;60.31704119
Raatetie;Raatetie;25.0286342;60.30615516
Hiekkatie;Hiekkatie;25.04152289;60.30478846
Kukkakimpunpuisto;Kukkakimpunpuisto;25.04101005;60.30146253
Leinelän Puistotie;Leinelän Puistotie;25.04174138;60.32220249
Koiruohonpuisto;Koiruohonpuisto;25.02538416;60.2936029
Peijaksentie;Peijaksentie;25.09964902;60.31567979
